model_id,escalation_ladder,exact_blocker,final_state,replacement_attempt,exact_next_command
internimage-t/s/b/l/h,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,"mmcv build fails (torch 2.11+cu130, pkg_resources); DCNv3 CUDA op compile",sidecar_required,isolated conda py3.10 + torch2.1 + mmcv2.1 prebuilt wheel,conda env + pip install mmcv==2.1.0 (cu121/torch2.1 wheel) + mmdet + InternImage ops
maskdino-r50-coco/panoptic/swinl,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,Detectron2 + MaskDINO build chain,sidecar_required,Detectron2 prebuilt for torch2.1,conda env + pip install detectron2 (torch2.1 wheel) + MaskDINO repo
seem-davit-d3 / seem-focal-t,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,X-Decoder/SEEM custom ops + mpi4py,sidecar_required,isolated SEEM env,conda env + SEEM repo install + checkpoint
co-dino-inst-vit-l-coco/lvis,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,OpenMMLab Co-DETR projects (mmcv),sidecar_required,mmcv2.1 + mmdet projects,conda env + mmcv2.1 + mmdet + Co-DETR project config
oneformer-dinat-large,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,NATTEN compile (no wheel for torch 2.11),sidecar_required,NATTEN prebuilt wheel for torch2.1,pip install natten -f https://shi-labs.com/natten/wheels (torch2.1 index)
rtdetrv4-l/m/s/x,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,checkpoint gated on Google Drive (gdown abuse filter),checkpoint_required,user manual gdown,gdown <drive-id> -O ckpt && visionservex rtdetrv4 smoke-test --checkpoint ckpt
sam3 image/video/text/visual/exemplar/openvocab/tracking,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,no separately published checkpoint (sam3-base gated),not_released,track upstream facebookresearch/sam3 release,watch github.com/facebookresearch/sam3 releases
sam3.1-*,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,SAM 3.1 not publicly released as of 2026-06,not_released,track upstream,watch Meta SAM 3.1 release
tinysam / q-tinysam,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,Apache-2.0 tag but SA-1B research-only distillation provenance,legal_review_required,retrain from commercial backbone OR legal sign-off,visionservex legal review tinysam
hq-sam2 / light-hq-sam / focalclick / simpleclick,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,non-commercial training data (HQSeg-44K / MAE CC-BY-NC / SegFormer NVIDIA-NC),legal_review_required,use Apache-2.0 alternatives (mobilesam/efficientsam),visionservex legal review <model>
dino-x detection/segmentation/phrase-grounding/counting/region-captioning,repo->card->checkpoint->HF org->transformers/MMDet->ONNX->sidecar->user_checkpoint->BYOT->API->legal_review,"API-only, no downloadable weights",external_api_only,BYOT API key,export DEEPDATASPACE_API_KEY=... && visionservex dino api dino-x-api ...
