target_name,target_family,exists_in_ledger,ledger_model_id,ledger_location,current_final_state,current_license_status,code_license,weights_license,commercial_safe,redistribution_allowed,gated_or_auth_required,core_allowed,action,exact_next_command,v3_gate_impact,notes
classic-slic-graphcut,A_classic_no_weight,False,,absent,,,BSD-3-Clause (skimage SLIC) + GPL-3.0 (PyMaxflow) — BK maxflow algorithm is research/non-commercial,n/a (no weights),conditional,no,no,legal_review_required,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"LANDMINE. SLIC superpixels (skimage, BSD-3) are fine, but the graph-cut step via PyMaxflow pulls a GPL-3.0 dependency AND the wrapped Boykov-Kolmogorov maxflow is licensed research/non-commercial only (paid UCLB license for commercial use). Double blocker for a commercial-safe Apache-2.0 package. AL"
classic-random-walker,A_classic_no_weight,False,,absent,,,"BSD-3-Clause (skimage.segmentation.random_walker; scipy BSD-3, optional pyamg MIT)",n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Random-walker segmentation. All deps permissive (BSD/MIT). Optional pyamg multigrid solver is MIT. No weights, no GPL. Commercial-safe."
classic-intelligent-scissors,A_classic_no_weight,False,,absent,,,"Apache-2.0 (OpenCV cv2.segmentation.IntelligentScissorsMB, >=4.5)",n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Live-Wire / Intelligent Scissors. Shipped in OpenCV core (not contrib/nonfree) under Apache-2.0. The original Mortensen-Barrett livewire patent (US 5,995,115, filed 1997) is expired, and OpenCV distributes the implementation freely. No weights, no GPL. Commercial-safe."
classic-grabcut,A_classic_no_weight,False,,absent,,,Apache-2.0 (OpenCV >=4.5; cv2.grabCut),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Pure algorithm, no checkpoint. cv2.grabCut uses OpenCV's OWN internal min-cut/max-flow (gcgraph.hpp), NOT PyMaxflow, so no GPL is pulled in. GrabCut had a historical Microsoft patent but OpenCV ships it under Apache-2.0 and it is widely used commercially. Commercial-safe."
classic-marker-watershed,A_classic_no_weight,False,,absent,,,Apache-2.0 (OpenCV cv2.watershed) / BSD-3-Clause (skimage.segmentation.watershed),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Marker-controlled watershed. Either backend (OpenCV or skimage) is permissive. No weights, no GPL. Commercial-safe."
classic-interactive-rf,A_classic_no_weight,False,,absent,,,BSD-3-Clause (scikit-learn RandomForest; optional skimage features BSD-3),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Interactive per-pixel RandomForest classifier trained on user scribbles at runtime (model fit on the fly, no pretrained checkpoint shipped). All deps permissive BSD-3. Commercial-safe."
classic-slic-rf-smooth,A_classic_no_weight,False,,absent,,,BSD-3-Clause (skimage SLIC + scikit-learn RandomForest),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"SLIC superpixels + RandomForest with smoothing. Unlike slic-graphcut, this variant uses sklearn (BSD-3) not PyMaxflow, so NO GPL. If a graph-cut/CRF smoothing step is later added, ensure it uses a permissive maxflow (scipy/networkx), not PyMaxflow/gco. As described: commercial-safe."
classic-edge-plus,A_classic_no_weight,False,,absent,,,Apache-2.0 (OpenCV Canny/Sobel/Scharr) / BSD-3-Clause (skimage filters),n/a (no weights),yes,yes,no,yes,benchmarked_classic_tool,see smart_tool_coverage_ledger.csv (CPU benchmark already run),V3-13 supported,"Classic edge operators (Canny/Sobel/Scharr/Laplacian) are permissive in both backends; no weights. CAVEAT: if 'edge-plus' instead uses OpenCV-contrib ximgproc StructuredEdgeDetection (Dollar's Structured Forests), that model file historically carried a non-commercial research license and would need "
sam-vit-b,B_promptable_sam,True,sam-vit-base,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 1 (Meta, Apr 2023). Code+weights both Apache-2.0; openly downloadable, not gated. Trained on SA-1B which is a research-only dataset, but Meta released the trained checkpoints under Apache-2.0 -> commercial use permitted. ViT-B backbone."
sam-vit-l,B_promptable_sam,True,sam-vit-large,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 1 ViT-L. Same licensing as sam-vit-b: Apache-2.0 code+weights, ungated, commercial OK. SA-1B training data is research-only but the released weights are Apache-2.0."
sam-vit-h,B_promptable_sam,True,sam-vit-huge,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 1 ViT-H (largest, sam_vit_h_4b8939.pth). Apache-2.0 code+weights, ungated, commercial OK. Research-only SA-1B dataset does not restrict the Apache-2.0 weights."
sam2-hiera-tiny,B_promptable_sam,True,sam2-hiera-tiny,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 (Meta, Jul 2024). Checkpoints, demo code and training code are Apache-2.0. NOT a separate 'SAM 2 License' and not Llama-style; only the eval code is BSD-3. SA-V video training data is research/CC BY 4.0 but weights are Apache-2.0 -> commercial OK. Ungated. Hiera-T backbone."
sam2-hiera-small,B_promptable_sam,True,sam2-hiera-small,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 Hiera-S. Apache-2.0 code+weights, ungated, commercial OK. Eval code BSD-3 only; SA-V dataset research-only does not encumber the Apache-2.0 weights."
sam2-hiera-base-plus,B_promptable_sam,True,sam2-hiera-base-plus,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 Hiera-B+ (base-plus). Apache-2.0 code+weights, ungated, commercial OK. Same SAM 2 licensing as the other sizes."
sam2-hiera-large,B_promptable_sam,True,sam2-hiera-large,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2 Hiera-L (largest). HF model card explicitly apache-2.0. Code+weights Apache-2.0, ungated, commercial OK. Eval code BSD-3 only."
sam2.1-hiera-tiny,B_promptable_sam,True,sam2.1-hiera-tiny,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 (improved Meta checkpoints, late 2024) served from the same facebookresearch/sam2 repo. Checkpoints + training code Apache-2.0, ungated, commercial OK. No separate license for 2.1 weights vs 2.0. Hiera-T."
sam2.1-hiera-small,B_promptable_sam,True,sam2.1-hiera-small,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 Hiera-S. Apache-2.0 code+weights, ungated, commercial OK. Same SAM 2.1 licensing as the other sizes."
sam2.1-hiera-base-plus,B_promptable_sam,True,sam2.1-hiera-base-plus,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 Hiera-B+ (base-plus). Apache-2.0 code+weights, ungated, commercial OK."
sam2.1-hiera-large,B_promptable_sam,True,sam2.1-hiera-large,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"SAM 2.1 Hiera-L (largest, best quality). HF card explicitly apache-2.0. Code+weights Apache-2.0, ungated, commercial OK. Also offered commercially via AWS SageMaker JumpStart, confirming commercial intent. Eval code BSD-3 only."
mobilesam,B_promptable_sam,True,mobilesam,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"MobileSAM = TinyViT image encoder distilled from SAM + original SAM mask decoder. Both code and released checkpoint are Apache-2.0, openly downloadable from GitHub releases (not gated). Encoder distilled on a ~1% SA-1B subset; SA-1B itself is a research-license dataset, but Meta/authors released the"
efficientsam,B_promptable_sam,True,efficientsam,core_ledger,benchmark_passed,Apache-2.0,Apache-2.0,Apache-2.0,yes,yes,no,yes,supported_benchmarked,already core + benchmark_passed,V3-12 covered,"Meta (Yunyang Xiong et al.). Repo LICENSE confirmed Apache-2.0; vit-tiny / vit-small checkpoints released Apache-2.0, not gated. SAMI pretraining leveraged ImageNet (MAE) + SA-1B (research dataset), but Meta released weights under Apache-2.0. Commercial-safe."
hq-sam,B_promptable_sam,True,hq-sam,core_ledger,legal_review_required,Apache-2.0 (weights); HQSeg-44K training data partly non-commercial,Apache-2.0,Apache-2.0 (declared) but trained on NON-COMMERCIAL data (HQSeg-44K),conditional,yes,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,"LANDMINE (training data). Code Apache-2.0 and base SAM Apache-2.0. The HQ-output-token weights are fine-tuned on HQSeg-44K, which aggregates explicitly NON-COMMERCIAL datasets: DIS5K (research/educational-only ToU), ThinObject-5K (CC-BY-NC-4.0), plus academic saliency sets (ECSSD, MSRA-10K, DUT-OMRO"
hq-sam2,B_promptable_sam,False,,absent,,,Apache-2.0,Apache-2.0 (declared; SAM2 base Apache-2.0) but HQ token trained on NON-COMMERCIAL HQSeg-44K,conditional,yes,no,legal_review_required,legal_review_required,hold from default-safe core pending legal review,V3-07/V3-08 risk,LANDMINE (training data). HQ-SAM2 = HQ token on top of Meta SAM 2 (SAM2 code and checkpoints Apache-2.0). HQ components trained on HQSeg-44K (DIS5K non-commercial + ThinObject-5K CC-BY-NC-4.0). Same non-commercial training-data encumbrance as hq-sam => commercial use requires legal review. Not gated
