model_id,lane,blocker_category,runtime_id,current_state,exact_issue,deep_research_fix,exact_command,expected_healthy_state,fallback_blocker,can_reduce_nonhealthy_without_user_token,needs_sidecar_build,needs_repo_clone,needs_checkpoint_pull,priority
agriclip,A,Registry / License,core_py311,not_advertised,Registry incorrectly flagged CC-BY 4.0 as audit-only.,Reclassify as wired with CC-BY-4.0 attribution requirement.,visionservex registry reclassify agriclip --license cc-by-4.0,wired,registry_reclassification_failed_terminal,True,False,False,False,P0
prithvi-eo-2.0,A,Registry / License,core_py311,opt_in_license_required,Apache-2.0 license is permissive; OPT_IN flag is incorrect.,Reclassify as wired with Apache-2.0.,visionservex registry reclassify prithvi-eo-2.0 --license apache-2.0,wired,registry_reclassification_failed_terminal,True,False,False,False,P0
dinov3-vitb16,A,Registry / License,core_py311,not_advertised,Meta license is commercial-friendly under 700M MAU; AUDIT_ONLY is wrong.,Reclassify as wired with Meta commercial-friendly clickwrap.,visionservex registry reclassify dinov3-vitb16 --license meta-commercial-friendly,wired,registry_reclassification_failed_terminal,True,False,False,False,P0
deim-m,A,Registry / Alias,core_py311,upstream_deprecated,Superseded structurally by DEIMv2-M.,Alias deim-m to deimv2-m which is benchmark_passed.,visionservex registry remap deim-m --alias-to deimv2-m,wired,registry_remap_failed_terminal,True,False,False,False,P1
deim-s,A,Registry / Alias,core_py311,upstream_deprecated,Superseded structurally by DEIMv2-S.,Alias deim-s to deimv2-s which is benchmark_passed.,visionservex registry remap deim-s --alias-to deimv2-s,wired,registry_remap_failed_terminal,True,False,False,False,P1
oneformer-convnext-large,A,Registry / Misconfig,core_py311,wrong_registry_entry,HF id missing dataset prefix.,Remap to shi-labs/oneformer_ade20k_convnext_large.,visionservex registry remap oneformer-convnext-large --hf-id shi-labs/oneformer_ade20k_convnext_large,wired,oneformer_hf_pull_failed_terminal,True,False,False,True,P1
swinv2-large,A,Registry / Misconfig,core_py311,smoke_passed_already,HF URL migration verified in v2.45; current_state already smoke_passed.,Mark wired so it stays healthy across re-runs.,visionservex registry remap swinv2-large --hf-id microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,wired,swinv2_hf_pull_failed_terminal,True,False,False,True,P1
deimv2-n,A,Checkpoint Missing,core_py311,checkpoint_required,Nano variant has no published HF checkpoint (Intellindust/DEIMv2_DINOv3_N_COCO 404).,Audit official DEIMv2 releases; if released add URL; else mark CHECKPOINT_NOT_PUBLISHED.,visionservex deimv2 pull deimv2-n --audit-only-if-missing,checkpoint_published_smoke_passed,CHECKPOINT_NOT_PUBLISHED,True,False,False,True,P1
grounding-dino-1.5,A,Auth / API split,core_py311,auth_required,Registry conflates Edge (local weights) with Pro (API-only).,Split into 1.5-edge-local + 1.5-pro-api. Pull groundingdino_swint_ogc.pth for Edge.,visionservex registry split grounding-dino-1.5 --edge groundingdino_swint_ogc.pth --pro api,smoke_passed,LOCAL_WEIGHTS_PULL_FAILED,True,False,False,True,P2
grounding-dino-1.6,A,Auth / API split,core_py311,auth_required,Same as grounding-dino-1.5.,Same as grounding-dino-1.5.,visionservex registry split grounding-dino-1.6 --edge groundingdino_swint_ogc.pth --pro api,smoke_passed,LOCAL_WEIGHTS_PULL_FAILED,True,False,False,True,P2
