model_id,family,variant,task,engine,implementation_status,license,commercial_safe,gated,requires_token,readiness_state,default_visible,reason_if_hidden
clip-vit-base-patch32,clip,vit-base-patch32,embed,clip,wired,MIT,True,False,False,EMBEDDING_READY_LIVE,True,
clip-vit-large-patch14,clip,vit-large-patch14,embed,clip,wired,MIT,False,False,False,EMBEDDING_READY_LIVE,True,
co-dino-inst-vit-l-coco,co-dino,inst-vit-l-coco,segment,openmmlab,stub,Apache-2.0,False,False,False,CATALOG_ONLY_ENGINE_NOT_WIRED,False,Catalog-only: engine 'openmmlab' not wired (implementation_status=stub).
co-dino-inst-vit-l-lvis,co-dino,inst-vit-l-lvis,segment,openmmlab,stub,Apache-2.0,False,False,False,CATALOG_ONLY_ENGINE_NOT_WIRED,False,Catalog-only: engine 'openmmlab' not wired (implementation_status=stub).
convnextv2-base,convnextv2,base,classify,convnextv2,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
convnextv2-large,convnextv2,large,classify,convnextv2,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
convnextv2-tiny,convnextv2,tiny,classify,convnextv2,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
deim-m,deim,m,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,No HF or pip-installable path verified. Custom loader required.
deim-s,deim,s,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,No HF or pip-installable path verified. Requires custom loader from official DEIM repo. License and checkpoint download not yet validated.
deimv2-atto,deim,deimv2-atto,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,DEIMv2 atto custom loader required from official repo. Checkpoint not yet on HF.
deimv2-femto,deim,deimv2-femto,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,DEIMv2 femto custom loader required from official repo.
deimv2-l,deim,deimv2-l,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,DEIMv2 large custom loader required from official repo.
deimv2-m,deim,deimv2-m,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,Custom loader required from official repo. Checkpoint availability not verified.
deimv2-n,deim,deimv2-n,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,DEIMv2 nano custom loader required from official repo.
deimv2-pico,deim,deimv2-pico,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,DEIMv2 pico custom loader required from official repo.
deimv2-s,deim,deimv2-s,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,DEIMv2 repo and checkpoint availability not independently verified. Custom loader required.
deimv2-x,deim,deimv2-x,detect,_stub,stub,Apache-2.0,False,False,False,CUSTOM_LOADER_REQUIRED,False,DEIMv2 XLarge custom loader required from official repo. Highest-priority target to challenge YOLO11x.
dfine-l,dfine,l,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-l-coco,dfine,l-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-l-o365-coco,dfine,l-o365-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-m,dfine,m,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-m-coco,dfine,m-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-m-o365-coco,dfine,m-o365-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-n,dfine,n,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-n-coco,dfine,n-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-s,dfine,s,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-s-coco,dfine,s-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-s-o365-coco,dfine,s-o365-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-x,dfine,x,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-x-coco,dfine,x-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dfine-x-o365-coco,dfine,x-o365-coco,detect,dfine,wired,Apache-2.0,False,False,False,INFERENCE_READY_LIVE,True,
dinov2-base,dinov2,base,embed,dinov2,wired,Apache-2.0,True,False,False,EMBEDDING_READY_LIVE,True,
dinov2-giant,dinov2,giant,embed,dinov2,wired,Apache-2.0,True,False,False,EMBEDDING_READY_LIVE,True,
dinov2-large,dinov2,large,embed,dinov2,wired,Apache-2.0,True,False,False,EMBEDDING_READY_LIVE,True,
dinov2-small,dinov2,small,embed,dinov2,wired,Apache-2.0,True,False,False,EMBEDDING_READY_LIVE,True,
efficientsam,efficientsam,efficientsam,foundation_segment,efficientsam,wired,Apache-2.0,True,False,False,SEGMENTATION_READY_LIVE,True,
florence-2-base,florence-2,base,vlm,florence2,wired,MIT,True,False,False,DEPENDENCY_MISSING,False,A required optional dependency is not installed.
florence-2-large,florence-2,large,vlm,florence2,wired,MIT,True,False,False,DEPENDENCY_MISSING,False,A required optional dependency is not installed.
grounded-sam,grounded-sam,sam,grounded_segment,grounded_sam,wired,Apache-2.0,False,False,False,SEGMENTATION_READY_LIVE,True,
grounded-sam2,grounded-sam,sam2,grounded_segment,grounded_sam2,wired,Apache-2.0,False,False,False,SEGMENTATION_READY_LIVE,True,
grounding-dino-1.5,grounding-dino,1.5,open_vocab_detect,grounding_dino,stub,not released,False,False,False,CATALOG_ONLY_ENGINE_NOT_WIRED,False,Catalog-only: engine 'grounding_dino' not wired (implementation_status=stub).
grounding-dino-1.6,grounding-dino,1.6,open_vocab_detect,grounding_dino,stub,Custom,False,True,True,CATALOG_ONLY_ENGINE_NOT_WIRED,False,Catalog-only: engine 'grounding_dino' not wired (implementation_status=stub).
grounding-dino-original-swin-b,grounding-dino,original-swin-b,open_vocab_detect,grounding_dino,wired,Apache-2.0,False,False,False,OPEN_VOCAB_READY_LIVE,True,
grounding-dino-original-swin-t,grounding-dino,original-swin-t,open_vocab_detect,grounding_dino,wired,Apache-2.0,False,False,False,OPEN_VOCAB_READY_LIVE,True,
grounding-dino-swin-b,grounding-dino,swin-b,open_vocab_detect,grounding_dino,wired,Apache-2.0,True,False,False,OPEN_VOCAB_READY_LIVE,True,
