model_id,target_name,family,code_license,weights_license,commercial_use_allowed,redistribution_allowed,gated_or_auth_required,core_allowed,confidence,exists_in_ledger,ledger_model_id,ledger_final_state,ledger_location,provenance,notes
classic-edge-plus,classic-edge-plus,classic,Apache-2.0 (OpenCV Canny/Sobel/Scharr) / BSD-3-Clause (skimage filters),n/a (no weights),yes,yes,no,yes,high,False,,,absent,OpenCV Apache-2.0 (>=4.5); scikit-image BSD-3-Clause. Knowledge.,VisionServeX uses plain OpenCV Canny/Sobel + scipy morphology (no contrib StructuredEdgeDetection NC model). Commercial-safe as implemented.
classic-grabcut,classic-grabcut,classic,Apache-2.0 (OpenCV >=4.5; cv2.grabCut),n/a (no weights),yes,yes,no,yes,high,False,,,absent,Dependency declared in pyproject.toml (opencv-python-headless>=4.8); OpenCV core relicensed BSD-3 -> Apache-2.0 at v4.5.0. Knowledge.,"Pure algorithm, no checkpoint. cv2.grabCut uses OpenCV's OWN internal min-cut/max-flow (gcgraph.hpp), NOT PyMaxflow, so no GPL is pulled in. GrabCut had a historical Microsoft patent but OpenCV ships it under Apache-2.0 and it is widely used commercially. Commercial-safe."
classic-intelligent-scissors,classic-intelligent-scissors,classic,"Apache-2.0 (OpenCV cv2.segmentation.IntelligentScissorsMB, >=4.5)",n/a (no weights),yes,yes,no,yes,high,False,,,absent,"OpenCV main repo (modules/imgproc), Apache-2.0 since 4.5.0. Knowledge.","Live-Wire / Intelligent Scissors. Shipped in OpenCV core (not contrib/nonfree) under Apache-2.0. The original Mortensen-Barrett livewire patent (US 5,995,115, filed 1997) is expired, and OpenCV distributes the implementation freely. No weights, no GPL. Commercial-safe."
classic-interactive-rf,classic-interactive-rf,classic,BSD-3-Clause (scikit-learn RandomForest; optional skimage features BSD-3),n/a (no weights),yes,yes,no,yes,high,False,,,absent,scikit-learn BSD-3-Clause; scikit-image BSD-3-Clause. Knowledge.,"Interactive per-pixel RandomForest classifier trained on user scribbles at runtime (model fit on the fly, no pretrained checkpoint shipped). All deps permissive BSD-3. Commercial-safe."
classic-marker-watershed,classic-marker-watershed,classic,Apache-2.0 (OpenCV cv2.watershed) / BSD-3-Clause (skimage.segmentation.watershed),n/a (no weights),yes,yes,no,yes,high,False,,,absent,OpenCV Apache-2.0 (>=4.5); scikit-image BSD-3-Clause. Knowledge.,"Marker-controlled watershed. Either backend (OpenCV or skimage) is permissive. No weights, no GPL. Commercial-safe."
classic-random-walker,classic-random-walker,classic,"BSD-3-Clause (skimage.segmentation.random_walker; scipy BSD-3, optional pyamg MIT)",n/a (no weights),yes,yes,no,yes,high,False,,,absent,scikit-image BSD-3-Clause; scipy BSD-3; pyamg MIT. Knowledge.,"Random-walker segmentation. All deps permissive (BSD/MIT). Optional pyamg multigrid solver is MIT. No weights, no GPL. Commercial-safe."
classic-slic-graphcut,classic-slic-graphcut,classic,BSD-3-Clause (skimage SLIC) + GPL-3.0 (PyMaxflow) — BK maxflow algorithm is research/non-commercial,n/a (no weights),yes,yes,no,yes,high,False,,,absent,"WebSearch verified: PyMaxflow is GPL (http://pmneila.github.io/PyMaxflow/); underlying Boykov-Kolmogorov maxflow is non-commercial, commercial license via UCLB (https://xip.uclb.com/product/maxflow_computervision).",VisionServeX implementation uses OpenCV grabCut (Apache-2.0 internal min-cut) + scikit-image SLIC (BSD-3). It does NOT use PyMaxflow/gco (GPL/non-commercial). Commercial-safe as implemented (verified in smart_annotation/classic/methods.py).
classic-slic-rf-smooth,classic-slic-rf-smooth,classic,BSD-3-Clause (skimage SLIC + scikit-learn RandomForest),n/a (no weights),yes,yes,no,yes,high,False,,,absent,scikit-image BSD-3-Clause; scikit-learn BSD-3-Clause. Knowledge.,"SLIC superpixels + RandomForest with smoothing. Unlike slic-graphcut, this variant uses sklearn (BSD-3) not PyMaxflow, so NO GPL. If a graph-cut/CRF smoothing step is later added, ensure it uses a permissive maxflow (scipy/networkx), not PyMaxflow/gco. As described: commercial-safe."
grounding-dino-original-swin-b,grounding-dino-original-swin-b,grounding-dino,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,grounding-dino-original-swin-b,benchmark_passed,core_ledger,"Original IDEA GitHub release checkpoint groundingdino_swinb_cogcoor.pth; repo LICENSE = Apache-2.0; distributed via GitHub releases / HF, ungated.",Original (non-HF-transformers) IDEA checkpoint groundingdino_swinb_cogcoor.pth. Same Apache-2.0 weights release and same research-dataset training mix as grounding-dino-swin-b. Ungated; bundling permitted.
grounding-dino-original-swin-t,grounding-dino-original-swin-t,grounding-dino,Apache-2.0,Apache-2.0,yes,yes,no,yes,high,True,grounding-dino-original-swin-t,benchmark_passed,core_ledger,Original IDEA GitHub release checkpoint groundingdino_swint_ogc.pth; repo LICENSE = Apache-2.0; ungated.,"Original IDEA checkpoint groundingdino_swint_ogc.pth (Swin-T). Apache-2.0 code + weights, ungated. Commercial use and redistribution OK."
