item_id,family,task,introduced_version,current_state,default_safe,commercial_safe,license_status,source,evidence_artifact,artifact_exists,has_registry,has_vsx_api,has_cli,has_explain,has_test,has_tutorial,tutorial_executed,has_docs,fresh_install_verified,product_grade_status,missing_work,exact_next_command
sam-vit-b,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v37/sam-vit-base_mask.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam-vit-b image.jpg --box 60,40,270,180 --out out/"
sam-vit-l,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v37/sam-vit-large_mask.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam-vit-l image.jpg --box 60,40,270,180 --out out/"
sam-vit-h,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v37/sam-vit-huge_mask.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam-vit-h image.jpg --box 60,40,270,180 --out out/"
sam-vit-b-onnx,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v37/sam-vit-b_decoder.onnx,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex sam export-onnx sam-vit-b --out sam-vit-b-onnx.onnx
sam-vit-l-onnx,sam,promptable_segmentation,v3.2-3.7,checkpoint_required,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,checkpoint_required,ONNX-eligible; needs sam_vit_l .pth checkpoint,visionservex pull sam-vit-l-onnx  # BYOT Apache-2.0 checkpoint
sam-vit-h-onnx,sam,promptable_segmentation,v3.2-3.7,checkpoint_required,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,checkpoint_required,ONNX-eligible; needs sam_vit_h .pth checkpoint,visionservex pull sam-vit-h-onnx  # BYOT Apache-2.0 checkpoint
mobilesam,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v37/mobilesam_mask.npy,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run mobilesam image.jpg --box 60,40,270,180 --out out/"
mobilesam-onnx,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v37/mobilesam_decoder.onnx,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex sam export-onnx mobilesam --out mobilesam-onnx.onnx
efficientsam-l0,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v35/efficientsam_l0_decoder.onnx,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run efficientsam-l0 image.jpg --box 60,40,270,180 --out out/"
efficientsam-l1,sam,promptable_segmentation,v3.2-3.7,checkpoint_required,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,checkpoint_required,Apache weights; SA-1B dataset provenance documented,visionservex pull efficientsam-l1  # BYOT Apache-2.0 checkpoint
efficientsam-l2,sam,promptable_segmentation,v3.2-3.7,checkpoint_required,False,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,checkpoint_required,Apache weights; SA-1B dataset provenance documented,visionservex pull efficientsam-l2  # BYOT Apache-2.0 checkpoint
efficientsam-onnx,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),notebook/99_final_report/artifacts/v35/efficientsam_l0_decoder.onnx,True,True,True,True,True,True,True,False,True,False,product_grade_pass,,visionservex sam export-onnx efficientsam --out efficientsam-onnx.onnx
sam2-hiera-tiny,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam2-hiera-tiny image.jpg --box 60,40,270,180 --out out/"
sam2-hiera-small,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam2-hiera-small image.jpg --box 60,40,270,180 --out out/"
sam2-hiera-base-plus,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,image; HF cached (covered by sam2.1-base-plus run),"visionservex sam run sam2-hiera-base-plus image.jpg --box 60,40,270,180 --out out/"
sam2-hiera-large,sam,promptable_segmentation,v3.2-3.7,benchmark_passed,True,True,Apache-2.0,facebookresearch/segment-anything(-2),,False,True,True,True,True,True,True,False,True,False,product_grade_pass,,"visionservex sam run sam2-hiera-large image.jpg --box 60,40,270,180 --out out/"
