entry_id,official_repo,model_card,code_license,weights_license,weights_available,commercial_use_allowed,redistribution_allowed,recommended_state,last_activity,confidence,evidence_summary
ritm,https://github.com/SamsungLabs/ritm_interactive_segmentation,https://github.com/SamsungLabs/ritm_interactive_segmentation (README; no HF model card),"MIT (Copyright 2021 Samsung Electronics Co., Ltd.)","No explicit weights license; checkpoints distributed via Google Drive, implicitly under repo MIT but trained on SBD and ",public_download,conditional,unknown,checkpoint_required,~2022 (no active maintenance; CVPR 2022 release era),medium,"Code license confirmed MIT (Samsung Electronics 2021) via LICENSE file. Published checkpoints (hrnet18_sbd, hrnet32_cocolvis, etc.) are direct downloads from Google Drive links in README, with no sepa"
focalclick,https://github.com/alibaba/ClickSEG,https://github.com/alibaba/ClickSEG (README; no HF model card),"Apache-2.0 (per repo LICENSE file / GitHub API); NOTE: README text claims 'MIT' — discrepancy, LICENSE file governs = Apache-2.0",No explicit weights license; checkpoints on Google Drive. FocalClick variants: HRNet18s/HRNet32 (HRNet=MIT) and SegForme,public_download,conditional,unknown,legal_review_required,"2022-09-28 (last code push; repo unmaintained, metadata-only updates since)",medium,"Repo LICENSE file is Apache-2.0 (confirmed via GitHub API), even though the README prose says 'MIT' — treat code as Apache-2.0 (permissive either way). Checkpoints are public Google Drive downloads. C"
clickseg,https://github.com/alibaba/ClickSEG (original author: https://github.com/XavierCHEN34/ClickSEG),https://github.com/alibaba/ClickSEG (README; no HF model card),Apache-2.0 (both alibaba/ClickSEG and XavierCHEN34/ClickSEG per GitHub API); README prose says 'MIT' — LICENSE file governs = Apache-2.0,"No explicit weights license; Google Drive checkpoints. Umbrella codebase includes CDNet (ICCV2021, ResNet34/HRNet backbo",public_download,conditional,unknown,checkpoint_required,2022-09-28 (alibaba mirror); 2022-04-07 (original XavierCHEN34/ClickSEG); unmaintained,medium,"Same repository as FocalClick (alibaba/ClickSEG); 'ClickSEG' is the umbrella code base (built on RITM) hosting CDNet, FocalClick, and efficient baselines (MobileNetV2, PPLCNet). Code is Apache-2.0 per"
simpleclick,https://github.com/uncbiag/SimpleClick,https://github.com/uncbiag/SimpleClick (README; no HF model card),MIT (GitHub API confirmed),"Released checkpoints are fine-tuned from facebookresearch MAE pretrained ViT-Base/Large/Huge weights, which are CC-BY-NC",public_download,no,no,legal_review_required,"2025-08-05 (last code push; actively maintained, v1.0/v1.1 branches)",medium,"Code is MIT (GitHub API + LICENSE confirmed). The CRITICAL blocker is the weights: SimpleClick's README requires MAE pretrained ViT-Base/Large/Huge weights from facebookresearch/mae as the backbone, a"
tinysam,https://github.com/xinghaochen/TinySAM,https://huggingface.co/xinghaochen/tinysam,Apache-2.0,"Apache-2.0 (HF tag) — but distilled from SAM teacher using SA-1B (full-stage KD with hard-mask weighting on SA-1B masks,",public_download,conditional,yes,legal_review_required,2024-2025 (AAAI 2025),medium,Repo + HF both label Apache-2.0 and weights are openly downloadable. AAAI 2025 paper confirms full-stage knowledge distillation on SA-1B masks (research-only dataset ToU). Code is clean Apache; the op
q-tinysam,https://github.com/xinghaochen/TinySAM,https://huggingface.co/xinghaochen/Q-TinySAM,Apache-2.0,Apache-2.0 (HF tag) — post-training-quantized derivative of TinySAM; inherits the same SA-1B distillation provenance,public_download,conditional,yes,legal_review_required,2024-2025 (AAAI 2025),medium,"Q-TinySAM is the 8-bit PTQ variant in the same Apache-2.0 repo, weights public on HF. Same SA-1B research-only data taint as TinySAM applies (it is a quantization of the distilled model). Treat identi"
light-hq-sam,https://github.com/SysCV/sam-hq,https://huggingface.co/lkeab/hq-sam,Apache-2.0,"Model file released openly by SysCV, but HQ-token trained on HQSeg-44K which bundles non-commercial sources (ThinObject-",public_download,conditional,yes,legal_review_required,2023-2024 (NeurIPS 2023),high,"sam-hq LICENSE confirmed Apache-2.0 for code. Light-HQ-SAM uses a TinyViT (MobileSAM, Apache) backbone plus an HQ-Output token trained on HQSeg-44K. HQSeg-44K confirmed to merge DIS5K and thin_object_"
hq-sam2,https://github.com/SysCV/sam-hq,https://huggingface.co/lkeab/hq-sam,Apache-2.0,"HQ refinement weights released openly; SAM2 base is Apache-2.0, but the HQ head is trained on HQSeg-44K (non-commercial ",public_download,conditional,yes,legal_review_required,2024-2025,medium,"HQ-SAM2 (sam-hq2 in the SysCV/sam-hq repo) extends Meta SAM2 (Apache-2.0) with an HQ output token, same lineage as Light-HQ-SAM. Code Apache-2.0. The HQ refinement is trained on HQSeg-44K, which conta"
mobilesam,https://github.com/ChaoningZhang/MobileSAM,https://github.com/ChaoningZhang/MobileSAM/tree/master/weights,Apache-2.0,Apache-2.0 (mobile_sam.pt shipped in-repo),public_download,yes,yes,benchmark_passed_candidate,2023-2024,medium,"Repo LICENSE confirmed Apache-2.0; weights (mobile_sam.pt) shipped directly in the repo under the same license, public download. Distilled from SAM ViT-H via decoupled distillation using image embeddi"
efficientsam,https://github.com/yformer/EfficientSAM,https://huggingface.co/yunyangx/efficient-sam-vits,Apache-2.0,Apache-2.0 (efficient_sam_vits.pt / vitt.pt shipped in-repo weights folder),public_download,yes,yes,benchmark_passed_candidate,2023-2024 (CVPR 2024),medium,"LICENSE confirmed Apache-2.0; checkpoints ship in the repo (vitt public; vits stored as weights/efficient_sam_vits.pt.zip) under the same license. Authored by Meta AI (Yunyang Xiong et al.), uses SAMI"
