model_id,task,final_state,evidence_artifact,file_exists,model_found_in_file,numeric_metric_found,metric_col,metric_value,nan_metric,task_metric_appropriate,verdict
bytetrack,track,micro_benchmark_passed,notebook/99_final_report/reports/v3_core_model_rights.json,True,True,True,demo-log/sidecar,demo,False,True,OK_DEMO
clip-vit-base-patch32,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.98,False,True,OK
clip-vit-large-patch14,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.994,False,True,OK
convnextv2-base,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.868,False,True,OK
convnextv2-large,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.882,False,True,OK
convnextv2-tiny,classify,benchmark_passed,notebook/05_classification/reports/classification_leaderboard.csv,True,True,True,top1,0.867,False,True,OK
deimv2-atto,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.1556,False,True,OK
deimv2-femto,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.1965,False,True,OK
deimv2-l,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.439,False,True,OK
deimv2-m,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.397,False,True,OK
deimv2-pico,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.2677,False,True,OK
deimv2-s,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
deimv2-x,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,mAP50_95,0.4523,False,True,OK
dfine-l,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.4309,False,True,OK
dfine-l-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.3928,False,True,OK
dfine-l-o365-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
dfine-m,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.42,False,True,OK
dfine-m-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.3731,False,True,OK
dfine-m-o365-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.42,False,True,OK
dfine-n,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.2852,False,True,OK
dfine-n-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.2852,False,True,OK
dfine-s,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.3597,False,True,OK
dfine-s-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.3336,False,True,OK
dfine-s-o365-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.3597,False,True,OK
dfine-x,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.4576,False,True,OK
dfine-x-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.csv,True,True,True,map50_95,0.4105,False,True,OK
dfine-x-o365-coco,detect,benchmark_passed,notebook/01_object_detection/reports/detection_leaderboard.json,True,True,True,json,,False,True,OK
dinov2-base,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.992,False,True,OK
dinov2-giant,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.998,False,True,OK
dinov2-large,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.996,False,True,OK
dinov2-small,embed,benchmark_passed,notebook/06_embedding_similarity/reports/embedding_leaderboard.csv,True,True,True,knn_accuracy,0.988,False,True,OK
efficientsam,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.7742,False,True,OK
florence-2-base,vlm,demo_passed_sidecar,reports/v236_florence2_sidecar_create.json,True,True,True,demo-log/sidecar,demo,False,True,OK_DEMO
florence-2-large,vlm,demo_passed_sidecar,reports/v236_florence2_sidecar_create.json,True,True,True,demo-log/sidecar,demo,False,True,OK_DEMO
grounding-dino-original-swin-b,open_vocab,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.4303,False,True,OK
grounding-dino-original-swin-t,open_vocab,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.3809,False,True,OK
grounding-dino-swin-b,open_vocab,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.4303,False,True,OK
grounding-dino-swin-t,open_vocab,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.3809,False,True,OK
grounding-dino-tiny,open_vocab,benchmark_passed,notebook/04_open_vocab_vlm/reports/open_vocab_leaderboard.csv,True,True,True,mAP50_95,0.3809,False,True,OK
hq-sam,foundation_segment,benchmark_passed,notebook/03_promptable_segmentation/reports/promptable_leaderboard.csv,True,True,True,mean_iou,0.755,False,True,OK
