model_id,family,code_license,weights_license,dataset_risk,gated,local_token_required,user_license_required,can_auto_download,can_ship_weights,default_safe,commercial_safe,production_allowed,is_local,final_policy,hf_repo,warning_text,exact_next_command,notes
sam-vit-base,sam,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam-vit-base,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam-vit-base,
sam-vit-large,sam,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam-vit-large,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam-vit-large,
sam-vit-huge,sam,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam-vit-huge,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam-vit-huge,
mobilesam,sam,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull mobilesam,MobileSAM Apache-2.0; ONNX-exportable.
efficientsam,sam,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull efficientsam,EfficientSAM Apache-2.0; SA-1B distillation (industry-accepted).
sam2-hiera-tiny,sam2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2-hiera-tiny,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2-hiera-tiny,
sam2-hiera-small,sam2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2-hiera-small,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2-hiera-small,
sam2-hiera-base-plus,sam2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2-hiera-base-plus,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2-hiera-base-plus,
sam2-hiera-large,sam2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2-hiera-large,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2-hiera-large,
sam2.1-hiera-tiny,sam2.1,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2.1-hiera-tiny,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2.1-hiera-tiny,
sam2.1-hiera-small,sam2.1,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2.1-hiera-small,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2.1-hiera-small,
sam2.1-hiera-base-plus,sam2.1,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2.1-hiera-base-plus,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2.1-hiera-base-plus,
sam2.1-hiera-large,sam2.1,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/sam2.1-hiera-large,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull sam2.1-hiera-large,
dinov2-small,dinov2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/dinov2-small,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull dinov2-small,
dinov2-base,dinov2,Apache-2.0,Apache-2.0,low,False,False,False,True,False,True,True,True,True,commercial_safe_core,facebook/dinov2-base,Commercial-safe core model (permissive license). Weights are pulled from the official source on demand; VisionServeX does not bundle them.,visionservex model pull dinov2-base,
