model_id,family,task,final_state,default_safe,license_status,has_code_license,has_weights_license,has_evidence_artifact,artifact_exists_on_disk,has_tutorial,tutorial_executed,has_cli,cli_help_works,python_api_works,category,counts_as_pass,counts_as_fail,counts_as_blocked,blocker_category,exact_next_command
agriclip,agriclip,embed,wired,True,CC-BY-4.0,True,True,False,False,False,False,True,True,True,OTHER_UNVERIFIED,False,False,False,none,visionservex models contract-run agriclip
anomalib-patchcore,anomalib,anomaly,dataset_required,True,Apache-2.0,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,dataset,"visionservex dataset prepare-mvtec-mini --source /home/arash/datasets/mvtec_anomaly_detection --categories bottle,cable,hazelnut --max-test 100 --out /home/arash/datasets/mvtec_ad_mini_vsx"
bytetrack,bytetrack,track,micro_benchmark_passed,False,MIT,True,True,False,False,False,False,True,True,True,EXCLUDED,False,False,False,none,visionservex run bytetrack tests/assets/smoke/coco_person_car.jpg --task auto
clip-vit-base-patch32,clip,embed,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run clip-vit-base-patch32 tests/assets/smoke/coco_person_car.jpg --task auto
clip-vit-large-patch14,clip,embed,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run clip-vit-large-patch14 tests/assets/smoke/coco_person_car.jpg --task auto
co-dino-inst-vit-l-coco,co-dino,segment,sidecar_required,False,Apache-2.0,True,True,True,True,False,False,True,True,True,EXCLUDED,False,False,False,sidecar,visionservex runtime prepare co-dino-inst-vit-l-coco --execute --runtime codetr_openmmlab_py310
co-dino-inst-vit-l-lvis,codetr,segment,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare co-dino-inst-vit-l-lvis --execute --runtime codetr_openmmlab_py310
convnextv2-base,convnextv2,classify,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run convnextv2-base tests/assets/smoke/coco_person_car.jpg --task auto
convnextv2-large,convnextv2,classify,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run convnextv2-large tests/assets/smoke/coco_person_car.jpg --task auto
convnextv2-tiny,convnextv2,classify,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run convnextv2-tiny tests/assets/smoke/coco_person_car.jpg --task auto
