model_id,family,task,current_license_status,default_safe,current_final_state,current_blocker_code,current_implementation_status,current_engine,corrected_category,exact_reason,exact_fix_command,contract_command,benchmark_command_if_applicable,evidence_file,final_state_after_v237
florence-2-base,florence,vlm,MIT,True,dependency_required,FLORENCE2_TRANSFORMERS_VERSION_REQUIRED,wired,huggingface,stale_registry,v2.36 demo_passed via vsx-florence-test sidecar (transformers==4.46.3). Caption + OD both work.,conda run -n vsx-florence-test visionservex florence2 caption IMAGE,see reports/v236_florence2_sidecar_create.json,,reports/v236_florence2_sidecar_create.json,demo_passed_sidecar
florence-2-large,florence,vlm,MIT,True,dependency_required,FLORENCE2_TRANSFORMERS_VERSION_REQUIRED,wired,huggingface,stale_registry,Same sidecar; large model needs more VRAM but sidecar works.,conda run -n vsx-florence-test,via Florence-2 sidecar,,reports/v236_florence2_sidecar_create.json,demo_passed_sidecar
oneformer-dinat-large,oneformer,segment,MIT/Apache,True,dependency_required,NATTEN_REQUIRED,wired,huggingface,sidecar_required,NATTEN has no Python 3.13 wheel. Wheel build fails in main env. Needs Python 3.11 sidecar.,conda create -n vsx-natten python=3.11 -y && pip install natten visionservex,conda run -n vsx-natten visionservex predict oneformer-dinat-large IMAGE,,reports/v236_natten_install.json,sidecar_required
oneformer-convnext-large,oneformer,segment,MIT/Apache,True,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,wired,huggingface,wrong_registry_entry,HF returns 404 — official SHI-Labs only has Swin-Large + DiNAT-Large for COCO. ConvNeXt may not be released for COCO.,audit registry mapping vs https://huggingface.co/shi-labs,n/a — no official ConvNeXt COCO checkpoint,,reports/v237_oneformer_convnext_hf_audit.json,upstream_unavailable
siglip-base-patch16-224,siglip,embed,Apache-2.0,True,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,wired,huggingface,download_failed_retryable,google/siglip-base-patch16-224 is official. HF download fails transiently. Permissive license — never license_blocked.,retry: visionservex embed siglip-base-patch16-224 IMAGE,visionservex embed siglip-base-patch16-224 IMAGE --json,,reports/contract_logs/siglip-base-patch16-224.stderr,download_failed_retryable
swinv2-large,swinv2,classify,Apache-2.0,True,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,wired,timm,download_failed_retryable,timm/swinv2_large official. HF download fails transiently. Permissive — never license_blocked.,retry classify,visionservex classify swinv2-large IMAGE --json,,reports/contract_logs/swinv2-large.stderr,download_failed_retryable
deim-m,deim,detect,Apache-2.0,True,stub,DEIM_REQUIRED,stub,,upstream_deprecated,Legacy DEIM superseded by DEIMv2. No maintained DEIM-only checkpoints. Use DEIMv2-m.,use deimv2-m instead,n/a,,reports/v237_deim_legacy_audit.json,upstream_deprecated
deim-s,deim,detect,Apache-2.0,True,stub,DEIM_REQUIRED,stub,,upstream_deprecated,Same. Use deimv2-s (benchmarked v2.35 mAP=0.3684).,use deimv2-s,n/a,,reports/v237_deim_legacy_audit.json,upstream_deprecated
deimv2-s,deimv2,detect,Apache-2.0,True,stub,DEIMV2_TORCH_VERSION_REQUIRED,wired,deimv2_sidecar,benchmark_passed,"v2.35 via deimv2_torch251 sidecar: mAP50:95=0.3684, lat=10.7ms.",via DEIMv2 sidecar,via DEIMv2 sidecar,,reports/deimv2_detection_400_v235.json,benchmark_passed
deimv2-m,deimv2,detect,Apache-2.0,True,stub,DEIMV2_TORCH_VERSION_REQUIRED,wired,deimv2_sidecar,benchmark_passed,"v2.35 via deimv2_torch251 sidecar: mAP50:95=0.397, lat=12.5ms.",via DEIMv2 sidecar,via DEIMv2 sidecar,,reports/deimv2_detection_400_v235.json,benchmark_passed
