item_id,family,official_source,license,commercial_safe,weights_available,recommended_state,training_data_risk,exact_next_command,notes
ritm,interactive-seg,https://github.com/SamsungLabs/ritm_interactive_segmentation,MIT,yes,yes,product_grade_candidate,"Low: MIT code; trained on SBD (PASCAL VOC, CC-BY-SA) and COCO+LVIS (annotations CC-BY-4.0, images per Flickr ToS). No non-commercial backbone or dataset blocker.",git clone https://github.com/SamsungLabs/ritm_interactive_segmentation && cd ritm_interactive_segmentation && pip install -r requirements.txt,"KEPT product_grade_candidate. Cleanest interactive-seg candidate: permissive MIT code, no MAE/SegFormer/SA-1B dependency. Low residual doubt — only standard COCO/LVIS/SBD attribution obligations; commercial-safe confirmed."
clickseg_alibaba,interactive-seg,https://github.com/alibaba/ClickSEG,MIT,unclear,yes,legal_review_required,"MEDIUM-HIGH: MIT code, but bundled FocalClick variant uses NVIDIA SegFormer backbone (NVIDIA Source Code License, non-commercial). CDNet/HRNet variant is the permissive path. Trained on COCO+LVIS + extended 8-dataset.",git clone https://github.com/alibaba/ClickSEG && cd ClickSEG && pip install -r requirements.txt,KEPT legal_review_required (inherited-dependency class). Mixed repo: the CDNet/HRNet variant is potentially product-usable; the FocalClick/SegFormer variant inherits NVIDIA non-commercial restriction. Legal review should scope to the specific checkpoint variant deployed.
simpleclick,interactive-seg,https://github.com/uncbiag/SimpleClick,MIT,no,yes,legal_review_required,"HIGH: MIT code, but all backbones use Meta MAE ImageNet-1k pretraining (CC-BY-NC 4.0). Released weights are effectively encumbered by the non-commercial backbone. Remediation = retrain on a permissive backbone.",git clone https://github.com/uncbiag/SimpleClick && cd SimpleClick && pip install -r requirements.txt,"KEPT legal_review_required (not excluded): commercial_safe='no' reflects the MAE CC-BY-NC backbone in the published weights, but the issue is an INHERITED pretraining dependency with a retrain remediation path, so it stays legal_review rather than hard-excluded. Do not ship published checkpoints commercially as-is."
focalclick,interactive-seg,https://github.com/yzluka/FocalClick,MIT,no,yes,legal_review_required,"HIGH: MIT code, but SegFormer backbone is NVIDIA Source Code License (non-commercial, 'research or evaluation only'). Trained on COCO+LVIS + extended datasets.",git clone https://github.com/yzluka/FocalClick && cd FocalClick && pip install -r requirements.txt,"KEPT legal_review_required (inherited-dependency class, same as clickseg). Canonical implementation lives in alibaba/ClickSEG; yzluka is a fork. SegFormer-variant weights need NVIDIA commercial licensing. A non-SegFormer backbone variant would be the remediation path."
sam3-base,sam3,https://github.com/facebookresearch/sam3,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,"KEPT auth_required (gated HF facebook/sam3, hf auth login + access request). DOUBT FLAG on commercial_safe='yes': SAM 3 uses a CUSTOM 'SAM License', NOT Apache-2.0 like SAM 1/2 — custom Meta licenses typically carry acceptable-use and may carry use restrictions; legal review of the actual license text required before commercial ship. Also note: release (2026-06-05) is post my Jan-2026 cutoff and UNVERIFIED, and the dataset dates the SAM 3.1 entries BEFORE SAM 3 (internal inconsistency) — treat provenance as unverified."
sam3-image,sam3,https://github.com/facebookresearch/sam3,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Image segmentation via concept prompts. Same DOUBT FLAG as sam3-base: custom non-Apache SAM License requires legal review for commercial use; release post-cutoff and unverified.
sam3-video,sam3,https://github.com/facebookresearch/sam3,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Video tracking/segmentation. Same DOUBT FLAG: custom SAM License (not Apache); commercial use pending license-text legal review; provenance unverified.
sam3-text-prompt,sam3,https://ai.meta.com/research/publications/sam-3-segment-anything-with-concepts/,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Text/noun-phrase prompting capability of the unified SAM 3 weights (not a separate checkpoint). DOUBT FLAG: custom SAM License requires legal review; unverified post-cutoff.
sam3-visual-prompt,sam3,https://github.com/facebookresearch/sam3,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Points/boxes/masks capability of SAM 3. DOUBT FLAG: custom SAM License; legal review required; unverified post-cutoff.
sam3-exemplar-prompt,sam3,https://arxiv.org/abs/2511.16719,"SAM License (Meta Custom License, 2025-11-19)",yes,gated,auth_required,,,KEPT auth_required. Image/exemplar prompting capability of SAM 3. DOUBT FLAG: custom SAM License; legal review required; unverified post-cutoff.
